,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
7725,מרכז הכירסום,בית מלאכה לעיבוד מתכת.,"תעשיה, כימיה, מחצב",קומפרט 9 ,"בית מלאכה לעיבוד מתכת.,","(32.057753, 34.766357)"
7727,הסביח הרצל,"בית אוכל להכנה והגשת פלאפל סביח, הכנת מרקים מירקות בלבד ,צ'פיס סלטים מירקות טריים ושתיה קלה לצריכה במקום.",מזון,הרצל 97 ,"בית אוכל להכנה והגשת פלאפל סביח, הכנת מרקים מירקות בלבד ,צ'פיס סלטים מירקות טריים ושתיה קלה לצריכה במקום.,","(32.054194, 34.770984)"
7729,ג'ירף,"מסעדה-(ללא אפיה)  כולל דגים מנוקים מראש ממקור מאושר כולל סושי , לרבות צריכת משקאות משכרים במקום.(מחסן חיצוני בתיק רישוי 64557)",מזון,אבן גבירול 49 ,"מסעדה-(ללא אפיה)  כולל דגים מנוקים מראש ממקור מאושר כולל סושי , לרבות צריכת משקאות משכרים במקום.(מחסן חיצוני בתיק רישוי 64557),","(32.076982, 34.781162)"
7731,חבשוש,4.7 ב - מכולת.,מזון,החלוצים 18 ,"מכלת,","(32.059248, 34.773047)"
7734,מספרת גולן רפאלי,1.4ב - מספרה.,"בריאות, רוקחות, קוסמטיקה",החשמונאים 90 ,"1.4ב - מספרה.,","(32.069352, 34.783868)"
7738,הובלה בקרור-ניסן אטליאון,הובלה בקירור ניסאן אטליאון מס' רכב 8083675 צבע לבן,מזון,הגדוד העברי 31 ,"הובלה בקירור ניסאן אטליאון מס' רכב 8083675 צבע לבן,","(32.059018, 34.778279)"
7739,"אל  וסינו  בע""מ",מסעדה    + הכנת  דגים מעובדים (נקיים),מזון,אבן גבירול 192 ,"מסעדה    + הכנת  דגים מעובדים (נקיים),פאב- צריכת משקאות משכרים במקום,בית אוכל לחימום בורקסים מוכנים (ללא אפייה במקום).,","(32.0953522, 34.7838791)"
7741,תחנת תדלוק פז גרוזנברג,2.2 א - תחנת דלק ותדלוק.,דלק ואנרגיה,גרוזנברג 16 ,"תחנת דלק,","(32.066013, 34.769904)"
7745,קפה אשתור,בית אוכל להכנה והגשת כריכים מירקות טריים-לרבות צריכת משקאות משכרים במקום .,מזון,בזל 37 ,"בית אוכל להכנה והגשת כריכים מירקות טריים-לרבות צריכת משקאות משכרים במקום .,","(32.089902, 34.780465)"
7746,מכולת שלו,מכלת,מזון,השלום 71 ,"מכלת,","(32.065859, 34.803094)"
7748,גלצר,מסגריה,"תעשיה, כימיה, מחצב",קומפרט 14 ,"מסגריה,","(32.05739, 34.766177)"
7750,המחתרת,פאב- משקאות משכרים - הגשתם לצריכה במקום הגשתם .,מזון,פרנקל ידידיה 13 ,"פאב- משקאות משכרים - הגשתם לצריכה במקום הגשתם .,","(32.0572191, 34.7682178)"
7758,"מוסך ""משומר""",מוסך לפחחות רכב,רכב ותחבורה,אברבנאל 57 ,"מוסך לפחחות רכב,","(32.054306, 34.766696)"
7759,ששון,"מזון ומרכיביו לרבות משקאות וחומרי גלם - איחסונו
",מזון,לוינסקי 57 ,"אחסנת  מצרכי מזון (קטניות, פיצוחים ופירות יבשים) לצרכי מכירה סיטונאית.,מכירת פירות מיובשים, פיצוחים וקיטניות בסיטונאות.,","(32.059539, 34.773357)"
7767,ימיני אלעד, עיבוד מתכת (טיפול טרמי).,"תעשיה, כימיה, מחצב",רבנו חננאל 4 ,"עיבוד מתכת  (חיתוך מתכת והלחמה).,","(32.053717, 34.7666)"
7768,בזיליקום צפון,בית אוכל להכנה והגשת פיצה+ חימום והגשת פסטה מוכנה (קפואה)- מחסן חיצוני ברח' ויצמן 80 תיק רישוי 65756- לרבות הגשת משקאות משכרים לצורך צריכה במקום.,מזון,יהודה המכבי 53 ,"בית אוכל להכנה והגשת פיצה+ חימום והגשת פסטה מוכנה (קפואה)- מחסן חיצוני ברח' ויצמן 80 תיק רישוי 65756- לרבות הגשת משקאות משכרים לצורך צריכה במקום.,","(32.093943, 34.79071)"
7772,רהיטי שמיר,נגריה,"תעשיה, כימיה, מחצב",אברבנאל 20 ,"נגריה,","(31.7750376, 35.213222)"
7773,"אשכנזי יבוא ממוקד בע""מ",אחסנה ומכירת חומרי ניקוי על בסיס ממיס שומנים (חומר לא דליק) + מוצרי פלסטיק,מסחר ושונות,המפעל 4 ,"אחסנה ומכירת חומרי ניקוי על בסיס ממיס שומנים (חומר לא דליק) + מוצרי פלסטיק,","(32.9234246, 35.0793225)"
7774,מוסך זיסו,מוסך לתקון כלי רכב,רכב ותחבורה,שלמה 44 ,"מוסך לתקון כלי רכב,","(32.054816, 34.767132)"
7775,מסעדת לאס וגאס,מסעדה לרבות צריכת משקאות משכרים במקום.,מזון,קבוץ גלויות 79 ,"מסעדה לרבות צריכת משקאות משכרים במקום.,","(32.8124133, 35.0037193)"
7779,תדמית,מספרה לגברות וגברים,"בריאות, רוקחות, קוסמטיקה",אבן גבירול 145 ,"מספרה לגברות וגברים,","(32.090145, 34.782545)"
7780,סופר דניאלס,"מינימרקט (מכלת + מכירת מוצרי מזון קפואים,ירקות ובצקים).",מזון,יהודה הלוי 59 ,"מינימרקט (מכלת + מכירת מוצרי מזון קפואים,ירקות ובצקים).,מכירת בשר קפוא ודגים קפואים.,מכירת פירות וירקות.,","(32.063058, 34.775103)"
7783,רולדין - יהודה מכבי,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים- הכנת סלטים מירקות טריים,   מכירת עוגות ממקור מאושר בחוק  
",מזון,יהודה המכבי 57 ,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים- הכנת סלטים מירקות טריים,   מכירת עוגות ממקור מאושר בחוק  
,אפייה ומכירת דברי מאפה מבצק מוכן ומוקפא לצרכי מכירה במקום.,","(32.093954, 34.790899)"
